,Title,Release Year,Genre,Stream Platforms,Links,Duration,Age Rating,Production Country,IMDB,Category
43, Dune , (2021) ,"Science-Fiction, Action & Adventure, Drama",Apple TV,https://www.justwatch.com/in/movie/dune-2021,2h 35min,UA,United States, 8.0  (878k) ,mv
44, Article 370 , (2024) ,"Action & Adventure, Drama, Mystery & Thriller",Netflix,https://www.justwatch.com/in/movie/article-370,2h 38min,,India, 7.9  (20k) ,mv
45, Teri Baaton Mein Aisa Uljha Jiya , (2024) ,"Comedy, Drama, Romance, Science-Fiction",Amazon Prime Video,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film,2h 21min,,India, 6.3  (50k) ,mv
46, Inside Out , (2015) ,"Drama, Comedy, Animation, Kids & Family, Action & Adventure, Fantasy",Apple TV,https://www.justwatch.com/in/movie/inside-out,1h 35min,U,United States, 8.1  (794k) ,mv
47, Siddharth Roy , (2024) ,"Romance, Drama",aha,https://www.justwatch.com/in/movie/siddharth-roy,2h 28min,A,India, 7.8  (1k) ,mv
48, Gangs of Godavari , (2024) ,"Action & Adventure, Drama, Crime, History",Netflix,https://www.justwatch.com/in/movie/gangs-of-godavari,2h 23min,UA,India, 5.1  ,mv
49, Do Aur Do Pyaar , (2024) ,"Drama, Comedy, Romance",Hotstar,https://www.justwatch.com/in/movie/lovers-2024,2h 20min,UA,India, 6.4  (5k) ,mv
50, Abigail , (2024) ,"Horror, Comedy, Mystery & Thriller",Apple TV,https://www.justwatch.com/in/movie/abigail-2024,1h 49min,,United States, 6.6  (43k) ,mv
51, Je Jatt Vigarh Gya , (2024) ,Drama,Bookmyshow,https://www.justwatch.com/in/movie/je-jatt-vigad-gya,2h 12min,,India, 4.4  ,mv
52, Exhuma , (2024) ,"Horror, Mystery & Thriller",,https://www.justwatch.com/in/movie/exhuma,2h 14min,UA,South Korea, 6.9  (9k) ,mv
53, Civil War , (2024) ,"Action & Adventure, Mystery & Thriller, War & Military, Drama",,https://www.justwatch.com/in/movie/civil-war-2024-0,1h 49min,,"United States, United Kingdom", 7.2  (113k) ,mv
54, Oru Nodi , (2024) ,"Crime, Mystery & Thriller, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/oru-nodi,2h 8min,UA,India, 7.0  ,mv
55, Monkey Man , (2024) ,"Action & Adventure, Mystery & Thriller, Crime",,https://www.justwatch.com/in/movie/monkey-man,2h 1min,,"United States, Canada, Singapore",,mv
56, Blink , (2024) ,"Mystery & Thriller, Science-Fiction",,https://www.justwatch.com/in/movie/blink-2024,2h 16min,UA,India, 7.9  ,mv
57, Ghostbusters: Frozen Empire , (2024) ,"Fantasy, Science-Fiction, Comedy",Apple TV,https://www.justwatch.com/in/movie/ghostbusters-frozen-empire,1h 55min,,United States, 6.1  (50k) ,mv
58, The Idea of You , (2024) ,"Romance, Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/the-idea-of-you,1h 56min,,United States, 6.4  (47k) ,mv
59, Under Paris , (2024) ,"Mystery & Thriller, Horror, Action & Adventure, Drama, Sport",Netflix,https://www.justwatch.com/in/movie/sous-la-seine,1h 44min,,France, 5.2  (17k) ,mv
60, Madame Web , (2024) ,"Action & Adventure, Fantasy, Mystery & Thriller, Science-Fiction",Apple TV,https://www.justwatch.com/in/movie/madame-web,1h 56min,,United States, 3.9  (66k) ,mv
61, Pushpa: The Rise , (2021) ,"Drama, Mystery & Thriller, Action & Adventure, Crime",Amazon Prime Video,https://www.justwatch.com/in/movie/pushpa,2h 59min,UA,India, 7.6  (88k) ,mv
62, Tumbbad , (2018) ,"Horror, Mystery & Thriller, Drama, Fantasy, Made in Europe",,https://www.justwatch.com/in/movie/tumbbad,1h 53min,A,"India, Sweden", 8.2  (59k) ,mv
63, 777 Charlie , (2022) ,"Action & Adventure, Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/777-charlie,2h 46min,UA,India, 8.7  (40k) ,mv
64, Rise of the Planet of the Apes , (2011) ,"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama",Apple TV,https://www.justwatch.com/in/movie/rise-of-the-planet-of-the-apes,1h 45min,,"United Kingdom, United States", 7.6  (574k) ,mv
65, Ganapath , (2023) ,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure",,https://www.justwatch.com/in/movie/ganapath,2h 13min,UA,India, 2.9  (10k) ,mv
66, The Ministry of Ungentlemanly Warfare , (2024) ,"Action & Adventure, Drama, War & Military",,https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare,2h 0min,,"United States, United Kingdom, Turkey", 6.9  (43k) ,mv
67, Bramayugam , (2024) ,"Drama, Horror, Mystery & Thriller",Sony Liv,https://www.justwatch.com/in/movie/bramayugam,2h 19min,UA,India, 7.9  (9k) ,mv
68, Romeo , (2024) ,"Comedy, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/romeo-2024,2h 26min,UA,India,,mv
69, Sriranga Neethulu , (2024) ,Drama,Amazon Prime Video,https://www.justwatch.com/in/movie/sri-ranga-neethulu,2h 2min,,India, 8.4  (2k) ,mv
70, The Judge , (2014) ,"Drama, Mystery & Thriller, Crime, Made in Europe",Apple TV,https://www.justwatch.com/in/movie/the-judge,2h 21min,A,United States, 7.4  (207k) ,mv
71, My Fault , (2023) ,"Romance, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/culpa-mia,1h 57min,A,Spain, 6.2  (25k) ,mv
72, The Beekeeper , (2024) ,"Action & Adventure, Crime, Mystery & Thriller",Lionsgate Play,https://www.justwatch.com/in/movie/the-beekeeper-2024,1h 45min,,"United Kingdom, United States", 6.4  (103k) ,mv
73, Hridayam , (2022) ,"Romance, Drama",Hotstar,https://www.justwatch.com/in/movie/hridayam,2h 52min,U,India, 8.1  (15k) ,mv
74, The Wolf of Wall Street , (2013) ,"Drama, Comedy, Crime",Lionsgate Play,https://www.justwatch.com/in/movie/the-wolf-of-wall-street,3h 0min,A,United States, 8.2  (1m) ,mv
75, K.G.F: Chapter 1 , (2018) ,"Action & Adventure, Crime, Mystery & Thriller, Drama",Hotstar,https://www.justwatch.com/in/movie/k-g-f-chapter-1,2h 36min,UA,India, 8.2  (99k) ,mv
76, Sam Bahadur , (2023) ,"Drama, War & Military",Zee5,https://www.justwatch.com/in/movie/sam-bahadur,2h 30min,UA,India, 7.7  (16k) ,mv
77, Anatomy of a Fall , (2023) ,"Mystery & Thriller, Crime, Drama",Amazon Prime Video,https://www.justwatch.com/in/movie/anatomie-dune-chute,2h 32min,,France, 7.7  (134k) ,mv
78, Dhoomam , (2023) ,"Mystery & Thriller, Drama, Action & Adventure",Apple TV,https://www.justwatch.com/in/movie/dhoomam,2h 23min,UA,India, 5.6  ,mv
79, Skanda: The Attacker , (2023) ,"Action & Adventure, Drama, Romance",Hotstar,https://www.justwatch.com/in/movie/boyapatirapo,2h 47min,UA,India, 4.2  (2k) ,mv
