,Title,Release Year,Genre,Stream Platforms,Links,Duration,Age Rating,Production Country,IMDB
52, Dark , (2017) ,"Crime, Drama, Science-Fiction, Mystery & Thriller",Netflix,https://www.justwatch.com/in/tv-show/dark,56min,,Germany, 8.7  (449k) 
53, Dark Desire , (2020) ,"Mystery & Thriller, Drama",Netflix,https://www.justwatch.com/in/tv-show/dark-desire,34min,,Mexico, 6.5  (9k) 
54, Paurashpur , (2020) ,Drama,Alt Balaji,https://www.justwatch.com/in/tv-show/paurashpur,25min,A,India, 3.7  (18k) 
55, Naruto Shippūden , (2007) ,"Action & Adventure, Science-Fiction, Animation, Comedy, Drama, Fantasy",Crunchyroll,https://www.justwatch.com/in/tv-show/naruto-shippuden,24min,U,Japan, 8.7  (172k) 
56, Mayfair Witches , (2023) ,"Drama, Science-Fiction, Fantasy, Horror",Amazon Prime Video,https://www.justwatch.com/in/tv-show/anne-rices-mayfair-witches,43min,,United States, 6.2  (12k) 
57, Presumed Innocent , (2024) ,"Crime, Mystery & Thriller, Drama",Apple TV Plus,https://www.justwatch.com/in/tv-show/presumed-innocent,42min,A,United States, 7.6  (1k) 
58, Luther , (2010) ,"Crime, Drama, Mystery & Thriller, Made in Europe",Amazon Prime Video,https://www.justwatch.com/in/tv-show/luther,58min,,United Kingdom, 8.4  (155k) 
59, Scam 1992 , (2020) ,"Crime, Drama, Mystery & Thriller",Sony Liv,https://www.justwatch.com/in/tv-show/scam-1992,52min,,India, 9.3  (150k) 
60, Paatal Lok , (2020) ,"Drama, Crime, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/paatal-lok,43min,A,India, 8.1  (65k) 
61, Dead Boy Detectives , (2024) ,"Fantasy, Horror, Action & Adventure, Comedy, Crime, Drama, Mystery & Thriller, Science-Fiction",Netflix,https://www.justwatch.com/in/tv-show/dead-boy-detectives,54min,A,United States, 7.5  (14k) 
62, Lost , (2004) ,"Action & Adventure, Science-Fiction, Mystery & Thriller, Drama, Fantasy",,https://www.justwatch.com/in/tv-show/lost,43min,U,United States, 8.3  (599k) 
63, Modern Family , (2009) ,"Romance, Comedy, Drama",Hotstar,https://www.justwatch.com/in/tv-show/modern-family,21min,,United States, 8.5  (488k) 
64," Illegal - Justice, Out of Order ", (2020) ,"Drama, Crime, Mystery & Thriller",Jio Cinema,https://www.justwatch.com/in/tv-show/illegal-justice-out-of-order,31min,,India, 6.9  (24k) 
65, Queen of Tears , (2024) ,"Drama, Comedy",Netflix,https://www.justwatch.com/in/tv-show/queen-of-tears,1h 28min,,South Korea,
66, Kaiju No. 8 , (2024) ,"Fantasy, Horror, Science-Fiction, Animation, Action & Adventure",Crunchyroll,https://www.justwatch.com/in/tv-show/kaiju-no-8,24min,,Japan, 8.4  (3k) 
67, Doctor Who , (2005) ,"Action & Adventure, Drama, Science-Fiction",Amazon Prime Video,https://www.justwatch.com/in/tv-show/doctor-who,50min,,United Kingdom, 8.6  (248k) 
68, Kota Factory , (2019) ,"Comedy, Drama",Netflix,https://www.justwatch.com/in/tv-show/kota-factory,39min,,India, 9.0  (81k) 
69, Yellowstone , (2018) ,"Drama, Western",Netflix,https://www.justwatch.com/in/tv-show/yellowstone,50min,,United States, 8.7  (225k) 
70, Interview with the Vampire , (2022) ,"Drama, Fantasy, Horror",Amazon Prime Video,https://www.justwatch.com/in/tv-show/interview-with-the-vampire,49min,,United States, 7.2  (23k) 
71, Resident Alien , (2021) ,"Science-Fiction, Comedy, Drama",Jio Cinema,https://www.justwatch.com/in/tv-show/resident-alien,44min,,United States, 8.1  (63k) 
72, Toughest Forces on Earth , (2024) ,Documentary,Netflix,https://www.justwatch.com/in/tv-show/toughest-forces-on-earth,41min,,United Kingdom, 6.0  
73, Dil Dosti Dilemma , (2024) ,"Drama, Comedy",Amazon Prime Video,https://www.justwatch.com/in/tv-show/dil-dosti-dilemma,40min,,India, 6.6  
74, Solo Leveling , (2024) ,"Fantasy, Animation, Action & Adventure, Science-Fiction",Crunchyroll,https://www.justwatch.com/in/tv-show/solo-leveling-2024,24min,,"Japan, South Korea", 8.3  (24k) 
75, Sweet Tooth , (2021) ,"Science-Fiction, Action & Adventure, Drama, Fantasy",Netflix,https://www.justwatch.com/in/tv-show/sweet-tooth,48min,,United States, 7.7  (69k) 
76, A Gentleman in Moscow , (2024) ,"Drama, History, Mystery & Thriller",Amazon Prime Video,https://www.justwatch.com/in/tv-show/a-gentleman-in-moscow,48min,,United Kingdom, 7.3  (6k) 
77, 9-1-1 , (2018) ,"Drama, Crime, Action & Adventure, Mystery & Thriller",Hotstar,https://www.justwatch.com/in/tv-show/9-1-1,44min,,United States, 7.9  (48k) 
78, Joko Anwar's Nightmares and Daydreams , (2024) ,"Drama, Horror, Science-Fiction, Mystery & Thriller",Netflix,https://www.justwatch.com/in/tv-show/joko-anwars-nightmares-and-daydreams,52min,,Indonesia, 6.8  
79, Spartacus , (2010) ,"Drama, Romance, Action & Adventure",Lionsgate Play,https://www.justwatch.com/in/tv-show/spartacus,54min,,United States, 8.5  (258k) 
